0.9020,0.7569,0.6314,12
0.0314,0.5059,0.1137,5
0.1804,0.3059,0.8118,7
0.3216,0.7098,0.9608,6
0.1608,0.7255,0.0000,5
0.5098,0.5647,0.5529,10
0.5059,0.6471,0.9412,7
0.4000,0.8549,0.0118,5
0.6902,0.0549,0.6667,8
0.3529,0.7294,0.1804,5
0.9059,0.8078,0.8157,12
0.6039,0.6118,1.0000,8
0.6941,0.7255,0.6078,10
0.9922,0.2471,0.1922,0
0.7294,0.9333,0.0588,5
0.2784,0.2039,0.5216,8
0.0118,0.7490,0.9843,6
0.7373,0.6353,0.6627,3
0.9765,0.8784,0.9647,12
0.3529,0.9529,0.3843,5
0.5961,0.9608,0.0353,5
0.8667,0.5686,0.3412,3
0.7843,0.1020,0.8510,8
0.3922,0.8824,0.9098,6
0.1569,0.2039,0.7255,7
0.0235,0.1412,0.0902,11
0.4745,0.0588,0.8549,8
0.0235,0.0157,0.3412,7
0.7255,0.5294,0.3725,3
0.1804,0.6275,0.0392,5
0.9961,0.6784,0.2235,2
0.3020,0.4784,0.2549,5
0.4941,0.4118,0.6235,8
0.7882,0.5216,0.1725,3
0.9490,0.7961,0.6980,12
0.5490,0.5843,1.0000,8
0.2353,0.7804,0.5294,5
0.3843,0.4745,0.2667,5
0.3843,0.7882,0.1725,5
0.5490,0.7294,0.5765,5
0.4549,0.9961,0.2353,5
0.6588,0.3529,0.5412,8
0.5059,0.0039,0.9137,8
0.5255,0.4745,0.3922,3
0.1804,0.3804,0.5686,7
0.1451,0.8980,0.0196,5
0.8824,0.1725,0.7020,1
0.7137,0.9961,0.0824,5
0.2863,0.9294,0.1961,5
0.6275,0.6588,0.5451,10
0.8627,0.2392,0.9020,8
0.8118,0.7843,0.6275,12
0.0431,0.0784,0.2157,11
0.4902,0.1059,0.1647,3
0.3804,0.8824,0.5216,5
0.0078,0.8980,0.5020,5
0.0275,0.3216,0.6784,7
0.7451,0.9725,0.0078,5
0.7490,0.2118,0.4392,0
0.9725,0.9333,1.0000,9
0.3882,0.0549,0.8902,8
0.4902,0.1059,0.5373,8
0.3608,0.7216,0.2706,5
0.6157,0.3804,0.2471,3
0.6627,0.9765,0.0667,5
0.9216,0.4941,0.1176,2
0.0314,0.6118,0.9098,6
0.4157,0.1216,0.6000,8
0.9137,0.4314,0.2784,2
0.5020,0.7843,0.4627,5
0.5647,0.6118,0.7451,10
0.1843,0.2510,0.8000,7
